Reading PCAP data...

Generated CSV file from ../demo-muteeb.pcap...

Merged common columns in dataset...

Dataset preprocess completed...

Accuracy...

Logistic_Regression_Model           6.77%
Naive_Bayes                         32.28%
Gradient_Boosting_Classifier_Model  56.73%
Decision_Tree_Classifier_Model      71.9%
K_Neighbors_Classifier_Model        23.24%
Random_Forest_Classifier_Model      77.77%

Prediction...

Packet Time                  Logistic_Regression          Naive_Bayes                  Gradient_Boosting_Classifier Decision_Tree_Classifier     K_Neighbors_Classifier       Random_Forest_Classifier     Actual Packet Protocol      
62-1645977863.15292          quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
63-1645977863.152921         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
64-1645977863.153147         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
65-1645977863.153396         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
66-1645977863.153397         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
67-1645977863.153398         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
68-1645977863.153509         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
69-1645977863.1542           quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
70-1645977863.15756          quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
71-1645977863.157958         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
72-1645977863.158307         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
73-1645977863.159231         quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
74-1645977863.159505         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
75-1645977863.159506         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
76-1645977863.160163         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
77-1645977863.160164         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
78-1645977863.160164         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
79-1645977863.160165         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
80-1645977863.160165         quic                         non-quic                     quic                         non-quic                     non-quic                     non-quic                     non-quic                    
81-1645977863.160166         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
82-1645977863.160166         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
83-1645977863.160166         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
84-1645977863.160167         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
85-1645977863.160167         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
86-1645977863.160412         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
87-1645977863.160413         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
88-1645977863.160939         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
89-1645977863.162163         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
90-1645977863.162164         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
91-1645977863.162164         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
92-1645977863.162165         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
93-1645977863.162165         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
94-1645977863.162165         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
95-1645977863.162166         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
96-1645977863.16377          quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
97-1645977863.163984         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
98-1645977863.164863         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
99-1645977863.165166         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
100-1645977863.165166        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
101-1645977863.165166        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
102-1645977863.165363        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
103-1645977863.16573         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
104-1645977863.166165        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
105-1645977863.166166        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
106-1645977863.166166        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
107-1645977863.166166        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
108-1645977863.166167        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
109-1645977863.166167        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
110-1645977863.166993        quic                         non-quic                     quic                         quic                         non-quic                     non-quic                     non-quic                    
111-1645977863.16823         quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
112-1645977863.168231        quic                         quic                         non-quic                     non-quic                     quic                         non-quic                     non-quic                    
