frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.hdr_len,tcp.checksum,udp.srcport,udp.dstport,udp.length,udp.checksum,quic
1,1644570364.368386000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x892d,0x40,0,1,0,0,56,17,0x80da,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x895b,quic
1,1644570364.368624000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x892e,0x40,0,1,0,0,56,17,0x80d9,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x0c03,quic
1,1644570364.368624000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x892f,0x40,0,1,0,0,56,17,0x80d8,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x6bc2,quic
1,1644570364.368625000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8930,0x40,0,1,0,0,56,17,0x80d7,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x5a18,quic
1,1644570364.368626000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8931,0x40,0,1,0,0,56,17,0x80d6,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xa185,quic
1,1644570364.368627000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8932,0x40,0,1,0,0,56,17,0x80d5,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x8675,quic
1,1644570364.368738000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8933,0x40,0,1,0,0,56,17,0x80d4,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x7fe7,quic
1,1644570364.368739000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8934,0x40,0,1,0,0,56,17,0x80d3,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xc4a1,quic
1,1644570364.368845000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8935,0x40,0,1,0,0,56,17,0x80d2,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x7016,quic
1,1644570364.368845000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8936,0x40,0,1,0,0,56,17,0x80d1,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xfb48,quic
1,1644570364.368951000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8937,0x40,0,1,0,0,56,17,0x80d0,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xf417,quic
1,1644570364.368952000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8938,0x40,0,1,0,0,56,17,0x80cf,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x64b4,quic
1,1644570364.368955000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x5c56,0x00,0,0,0,0,64,17,0xea34,192.168.0.103,104.26.10.240,73,0x00,,,,,54983,443,53,0x39ed,quic
1,1644570364.369204000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8939,0x40,0,1,0,0,56,17,0x80ce,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x3ec5,quic
1,1644570364.369204000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x893a,0x40,0,1,0,0,56,17,0x80cd,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x9444,quic
1,1644570364.369210000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x893b,0x40,0,1,0,0,56,17,0x80cc,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x56d2,quic
1,1644570364.369210000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x893c,0x40,0,1,0,0,56,17,0x80cb,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xaaba,quic
1,1644570364.369211000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x893d,0x40,0,1,0,0,56,17,0x80ca,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x8fa0,quic
1,1644570364.369419000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x893e,0x40,0,1,0,0,56,17,0x80c9,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xa971,quic
1,1644570364.369419000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x893f,0x40,0,1,0,0,56,17,0x80c8,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xd0a6,quic
1,1644570364.369562000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xa4f6,0x00,0,0,0,0,64,17,0xa194,192.168.0.103,104.26.10.240,73,0x00,,,,,54983,443,53,0x4503,quic
1,1644570364.370455000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8940,0x40,0,1,0,0,56,17,0x80c7,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x1669,quic
1,1644570364.370456000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8941,0x40,0,1,0,0,56,17,0x80c6,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xadaa,quic
1,1644570364.370456000,1250,1250,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8942,0x40,0,1,0,0,56,17,0x80c5,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x57a9,quic
1,1644570364.370457000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8943,0x40,0,1,0,0,56,17,0x80c4,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x1ee5,quic
1,1644570364.370458000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8944,0x40,0,1,0,0,56,17,0x80c3,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x2013,quic
1,1644570364.370458000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8945,0x40,0,1,0,0,56,17,0x80c2,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xa9ce,quic
1,1644570364.370458000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8946,0x40,0,1,0,0,56,17,0x80c1,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xedcb,quic
1,1644570364.370459000,288,288,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8947,0x40,0,1,0,0,56,17,0x847a,104.26.10.240,192.168.0.103,274,0x00,,,,,443,54983,254,0x12ce,quic
1,1644570364.370459000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8949,0x40,0,1,0,0,56,17,0x80be,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xd2e3,quic
1,1644570364.370460000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x894a,0x40,0,1,0,0,56,17,0x80bd,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xe7be,quic
1,1644570364.370632000,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xd720,0x00,0,0,0,0,64,17,0x6f6a,192.168.0.103,104.26.10.240,73,0x00,,,,,54983,443,53,0xb266,quic
1,1644570364.382467000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x894b,0x40,0,1,0,0,56,17,0x80bc,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0xda1f,quic
1,1644570364.382468000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x894c,0x40,0,1,0,0,56,17,0x80bb,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x3352,quic
1,1644570364.382468000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x894d,0x40,0,1,0,0,56,17,0x80ba,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x1ea7,quic
1,1644570364.382469000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x894e,0x40,0,1,0,0,56,17,0x80b9,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x4d06,quic
1,1644570364.382469000,563,563,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x894f,0x40,0,1,0,0,56,17,0x835f,104.26.10.240,192.168.0.103,549,0x00,,,,,443,54983,529,0xde6b,quic
1,1644570364.382470000,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8950,0x40,0,1,0,0,56,17,0x80b7,104.26.10.240,192.168.0.103,1228,0x00,,,,,443,54983,1208,0x13dd,quic
