frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,srcport,dstport,length,checksum,quic
1,1644570364.340669,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8900,0x40,0,1,0,0,56,17,0x8107,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x1ff1,1
1,1644570364.340669,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8901,0x40,0,1,0,0,56,17,0x8106,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xa880,1
1,1644570364.34067,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8902,0x40,0,1,0,0,56,17,0x8105,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xa031,1
1,1644570364.34067,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8903,0x40,0,1,0,0,56,17,0x8104,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x8533,1
1,1644570364.340671,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8904,0x40,0,1,0,0,56,17,0x8103,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xbe14,1
1,1644570364.340671,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8905,0x40,0,1,0,0,56,17,0x8102,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x36af,1
1,1644570364.340672,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8906,0x40,0,1,0,0,56,17,0x8101,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x3324,1
1,1644570364.340672,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8907,0x40,0,1,0,0,56,17,0x8100,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xe7e5,1
1,1644570364.340673,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8908,0x40,0,1,0,0,56,17,0x80ff,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x4c99,1
1,1644570364.340674,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x8909,0x40,0,1,0,0,56,17,0x80fe,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x9d39,1
