frame.encap_type,frame.time_epoch,frame.len,frame.cap_len,eth.src,eth.dst,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,srcport,dstport,length,checksum,quic
1,1644570364.414602,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x899c,0x40,0,1,0,0,56,17,0x806b,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x4585,1
1,1644570364.414603,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x899d,0x40,0,1,0,0,56,17,0x806a,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xe262,1
1,1644570364.414603,98,98,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x899e,0x40,0,1,0,0,56,17,0x84e1,104.26.10.240,192.168.0.103,84,0x00,443,54983,64,0x4f83,1
1,1644570364.414603,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x899f,0x40,0,1,0,0,56,17,0x8068,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xdaf1,1
1,1644570364.414604,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a0,0x40,0,1,0,0,56,17,0x8067,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x3433,1
1,1644570364.414605,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a1,0x40,0,1,0,0,56,17,0x8066,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x6f77,1
1,1644570364.414605,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a2,0x40,0,1,0,0,56,17,0x8065,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x270f,1
1,1644570364.414605,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a3,0x40,0,1,0,0,56,17,0x8064,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x056c,1
1,1644570364.414607,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a4,0x40,0,1,0,0,56,17,0x8063,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x828c,1
1,1644570364.414844,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0xb6da,0x00,0,0,0,0,64,17,0x8fb0,192.168.0.103,104.26.10.240,73,0x00,54983,443,53,0x6c8f,1
1,1644570364.414886,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a5,0x40,0,1,0,0,56,17,0x8062,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x1e1e,1
1,1644570364.414886,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a6,0x40,0,1,0,0,56,17,0x8061,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xbb18,1
1,1644570364.415151,87,87,38:f9:d3:18:46:54,1c:3b:f3:ae:c6:f0,4,20,,0x1045,0x00,0,0,0,0,64,17,0x3646,192.168.0.103,104.26.10.240,73,0x00,54983,443,53,0xf204,1
1,1644570364.415899,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a7,0x40,0,1,0,0,56,17,0x8060,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0xf000,1
1,1644570364.4159,1242,1242,1c:3b:f3:ae:c6:f0,38:f9:d3:18:46:54,4,20,,0x89a8,0x40,0,1,0,0,56,17,0x805f,104.26.10.240,192.168.0.103,1228,0x00,443,54983,1208,0x820f,1
